                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1478,                 5.3484,                 4.4304,                0.17628,                0.04085,                0.02143,                 0.0056,                 3.0522,                 8.1464,                 4.5324,               0.070156,               0.003316,               0.003316
                      2,                  2.969,                 4.8099,                 3.8862,                 0.6164,                0.10341,                0.05782,                0.02327,                 2.5652,                 8.0971,                 3.5655,                0.04009,              0.0065835,              0.0065835
                      3,                 2.2532,                 3.7406,                 2.8881,                0.35898,                0.20169,                0.10468,                0.05077,                 2.2216,                 4.0416,                 2.6403,              0.0099586,               0.009785,               0.009785
                      4,                  1.817,                 3.1051,                 2.3502,                0.51148,                0.12452,                 0.0899,                0.05295,                 2.1106,                 5.6311,                 2.7991,               0.009703,               0.009703,               0.009703
                      5,                 1.5526,                 2.6006,                 2.0429,                0.01351,                0.04257,                0.00696,                0.00474,                 2.5602,                 5.3886,                 3.7407,               0.009604,               0.009604,               0.009604
                      6,                 1.3729,                 2.3015,                 1.8613,                0.69323,                0.06937,                0.07742,                0.04465,                 2.2329,                 4.3253,                 3.0117,               0.009505,               0.009505,               0.009505
                      7,                 1.2715,                 2.0802,                 1.7494,                0.50698,                0.30635,                 0.2991,                0.20113,                 1.5237,                 2.8976,                 1.8297,               0.009406,               0.009406,               0.009406
                      8,                 1.2153,                 1.9392,                 1.6813,                0.62395,                 0.2265,                0.25275,                0.18302,                 1.6613,                 5.9997,                 2.2348,               0.009307,               0.009307,               0.009307
                      9,                 1.1455,                  1.796,                 1.6159,                0.60083,                0.52792,                0.58443,                0.43707,                 1.1151,                 1.7818,                 1.4269,               0.009208,               0.009208,               0.009208
                     10,                 1.0876,                 1.6945,                 1.5455,                0.53675,                0.49742,                0.55564,                 0.4024,                 1.0612,                 1.9325,                 1.3873,               0.009109,               0.009109,               0.009109
                     11,                  1.055,                 1.6207,                 1.5233,                0.35226,                0.25827,                0.21935,                0.13945,                 2.0675,                  3.777,                 2.4522,                0.00901,                0.00901,                0.00901
                     12,                 1.0355,                 1.5548,                 1.5001,                0.43691,                0.50268,                0.52177,                0.37971,                  1.081,                 1.9814,                  1.365,               0.008911,               0.008911,               0.008911
                     13,                0.99902,                 1.4777,                  1.472,                0.54035,                0.67422,                0.66107,                0.50116,                0.95585,                   1.58,                 1.2847,               0.008812,               0.008812,               0.008812
                     14,                0.94514,                 1.3705,                 1.4071,                0.62988,                0.69589,                 0.7047,                0.54347,                0.93343,                 1.2679,                 1.2408,               0.008713,               0.008713,               0.008713
                     15,                 0.9597,                 1.3849,                 1.4248,                0.51184,                0.23121,                 0.2431,                0.18028,                 1.9715,                 4.1074,                 2.5472,               0.008614,               0.008614,               0.008614
                     16,                0.93392,                 1.2983,                 1.4047,                0.53792,                0.55954,                0.53419,                0.38198,                 1.1389,                  7.661,                 1.5102,               0.008515,               0.008515,               0.008515
                     17,                0.91831,                 1.2837,                 1.3927,                0.49681,                0.49551,                0.51399,                0.37678,                 1.1696,                 2.8768,                 1.5641,               0.008416,               0.008416,               0.008416
                     18,                0.90227,                 1.2171,                 1.3701,                0.41689,                 0.4642,                0.41281,                0.31706,                 1.2585,                   2.58,                 1.6166,               0.008317,               0.008317,               0.008317
                     19,                0.88108,                 1.1812,                 1.3573,                0.61317,                0.48699,                0.50333,                0.37427,                 1.1182,                 2.1731,                   1.44,               0.008218,               0.008218,               0.008218
                     20,                0.86371,                 1.1806,                 1.3502,                 0.4404,                 0.2799,                0.30398,                0.20519,                 2.1094,                 3.5364,                 2.7436,               0.008119,               0.008119,               0.008119
                     21,                0.85693,                 1.1394,                 1.3444,                0.66105,                0.75429,                0.77946,                0.60529,                0.87873,                 1.2463,                 1.1951,                0.00802,                0.00802,                0.00802
                     22,                0.85533,                 1.1048,                 1.3277,                0.74186,                0.65452,                0.74759,                0.58656,                0.86288,                 1.2169,                 1.1823,               0.007921,               0.007921,               0.007921
                     23,                0.84233,                 1.0909,                 1.3264,                0.56551,                0.44904,                0.45022,                0.34022,                 1.2534,                 2.5912,                 1.5673,               0.007822,               0.007822,               0.007822
                     24,                0.81611,                  1.048,                  1.314,                0.72064,                0.63418,                0.74052,                0.60138,                0.82027,                 1.5505,                 1.1743,               0.007723,               0.007723,               0.007723
                     25,                0.82294,                 1.0527,                 1.3128,                0.59262,                0.35226,                0.37806,                0.26231,                 1.5298,                 2.7873,                 2.0944,               0.007624,               0.007624,               0.007624
                     26,                0.81553,                 1.0033,                 1.3062,                0.67642,                0.85015,                0.85703,                0.69712,                 0.7686,                  1.022,                 1.1317,               0.007525,               0.007525,               0.007525
                     27,                0.80349,                0.97739,                 1.2975,                0.72164,                0.78561,                 0.8432,                0.68872,                0.76967,                  1.004,                 1.1181,               0.007426,               0.007426,               0.007426
                     28,                0.80242,                0.98215,                  1.301,                  0.645,                0.70406,                 0.7631,                0.61441,                0.84388,                 1.1792,                 1.1557,               0.007327,               0.007327,               0.007327
                     29,                0.77863,                0.94703,                 1.2802,                0.72592,                0.64561,                0.77134,                0.63793,                0.77379,                 1.1455,                 1.1437,               0.007228,               0.007228,               0.007228
